Time Passed (days),Orbital Period (days),X Position (m),Y Position (m),Eccentric Anomaly,Orbital Radius (m),Orbital Velocity (m/s),Potential Energy (J),Kinetic Energy (J),Total Mechanical Energy (J)
38.01991257173806,365.21050633813775,115279574809.32655,92228816272.62885,0.6644024097627523,147633109156.68423,29986.678977462878,-5.368229469101562e+33,2.684114734550781e+33,-2.684114734550781e+33
38.38548865415862,365.21050633813775,114689325589.52402,92977438656.86786,0.6707754656778826,147642966318.65494,29985.67795285355,-5.367871067284718e+33,2.683935533642359e+33,-2.683935533642359e+33
38.75106473657918,365.21050633813775,114094356752.43214,93722234898.34567,0.6771480944172373,147652902298.23438,29984.669025526007,-5.367509848124922e+33,2.6837549240624614e+33,-2.68375492406246e+33
39.116640818999734,365.21050633813775,113494693729.56303,94463175126.2659,0.6835202926458439,147662916670.71628,29983.65224100605,-5.367145828206237e+33,2.683572914103118e+33,-2.683572914103119e+33
39.482216901420294,365.21050633813775,112890362142.81956,95200229646.79956,0.689892057048488,147673009008.2149,29982.627645143,-5.36677902422854e+33,2.6833895121142706e+33,-2.6833895121142694e+33
39.847792983840854,365.21050633813775,112281387803.16386,95933368944.31052,0.6962633843298491,147683178879.68716,29981.595284106876,-5.366409453006478e+33,2.683204726503239e+33,-2.683204726503239e+33
40.213369066261414,365.21050633813775,111667796709.27737,96662563682.57086,0.7026342712146383,147693425850.95508,29980.555204385662,-5.366037131468401e+33,2.6830185657342006e+33,-2.6830185657342006e+33
40.57894514868197,365.21050633813775,111049615046.2135,97387784705.96378,0.7090047144477296,147703749484.72824,29979.50745278246,-5.365662076655292e+33,2.682831038327646e+33,-2.682831038327646e+33
40.944521231102534,365.21050633813775,110426869184.04207,98109003040.67596,0.7153747107942964,147714149340.6265,29978.4520764127,-5.365284305719705e+33,2.682642152859853e+33,-2.6826421528598517e+33
41.31009731352309,365.21050633813775,109799585676.48648,98826189895.87819,0.7217442570399404,147724624975.20267,29977.38912270129,-5.364903835924683e+33,2.6824519179623415e+33,-2.6824519179623415e+33
41.67567339594365,365.21050633813775,109167791259.55304,99539316664.89449,0.7281133499908243,147735175941.96545,29976.318639379802,-5.364520684642684e+33,2.6822603423213426e+33,-2.6822603423213415e+33
42.04124947836421,365.21050633813775,108531512850.15314,100248354926.35986,0.7344819864737996,147745801791.40244,29975.240674483593,-5.364134869354498e+33,2.682067434677249e+33,-2.682067434677249e+33
42.40682556078477,365.21050633813775,107890777544.71785,100953276445.36644,0.7408501633365353,147756502071.0032,29974.155276348964,-5.363746407648151e+33,2.6818732038240753e+33,-2.6818732038240753e+33
42.77240164320532,365.21050633813775,107245612617.80551,101654053174.59818,0.7472178774476441,147767276325.28265,29973.062493610265,-5.363355317217823e+33,2.681677658608911e+33,-2.681677658608911e+33
43.13797772562588,365.21050633813775,106596045520.7021,102350657255.45358,0.7535851256968085,147778124095.8043,29971.962375197014,-5.362961615862746e+33,2.681480807931373e+33,-2.681480807931373e+33
43.50355380804644,365.21050633813775,105942103880.01471,103043061019.15723,0.7599519049949041,147789044921.20377,29970.854970331,-5.362565321486108e+33,2.681282660743054e+33,-2.681282660743054e+33
43.86912989046699,365.21050633813775,105283815496.25803,103731236987.85907,0.7663182122741227,147800038337.2125,29969.740328523367,-5.362166452093946e+33,2.681083226046973e+33,-2.681083226046973e+33
44.234705972887554,365.21050633813775,104621208342.43422,104415157875.72249,0.7726840444880939,147811103876.68134,29968.6184995717,-5.361765025794041e+33,2.6808825128970206e+33,-2.6808825128970206e+33
44.600282055308114,365.21050633813775,103954310562.60612,105094796590.00012,0.7790493986120048,147822241069.6045,29967.489533557084,-5.361361060794804e+33,2.6806805303974025e+33,-2.6806805303974014e+33
44.965858137728674,365.21050633813775,103283150470.46364,105770126232.09807,0.7854142716427196,147833449443.14325,29966.353480841175,-5.36095457540417e+33,2.680477287702085e+33,-2.680477287702085e+33
45.33143422014923,365.21050633813775,102607756547.8842,106441120098.62831,0.7917786605988959,147844728521.65033,29965.210392063247,-5.360545588028473e+33,2.6802727940142365e+33,-2.6802727940142365e+33
45.697010302569794,365.21050633813775,101928157443.48648,107107751682.44902,0.7981425625211019,147856077826.6938,29964.060318137217,-5.360134117171324e+33,2.6800670585856616e+33,-2.680067058585663e+33
46.06258638499035,365.21050633813775,101244381971.1781,107769994673.6931,0.8045059744719307,147867496877.08133,29962.903310248712,-5.3597201814325e+33,2.67986009071625e+33,-2.67986009071625e+33
