Time Passed (days),Orbital Period (days),Barycentric X Position of Alpha A (m),Barycentric Y Position of Alpha A (m),Barycentric X Position of Alpha B (m),Barycentric Y Position of Alpha B (m),Scalar Distance Between Both Masses (m),Radius of Alpha A from the Barycenter (m),Radius of Alpha B from the Barycenter (m),Orbital Velocity of Alpha A (m/s),Orbital Velocity of Alpha B (m/s),Kinetic Energy of Alpha A (J),Kinetic Energy of Alpha B (J),Relative Kinetic Energy Within the System (J),Gravitational Potential Energy (J),Total Mechanical Energy Within the System (J),Acceleration of Alpha A (m/s/s),Acceleration of Alpha B (m/s/s),Relative Net Acceleration (m/s/s)
15373.772916885508,29143.0723794471,-2385627111867.7075,-152982352109.8987,2886477002757.06,185100193989.32492,5282933049303.231,2390527204809.7124,2892405844493.519,7401.940755182627,6729.19067939517,5.999365600284074e+37,4.0980216515691247e+37,1.00973872518532e+38,-5.007872998407453e+37,-3.779465395714286e+37,4.32846673984332e-06,5.237205613401587e-06,9.565672353244908e-06
15402.94516150958,29143.0723794471,-2384032701679.463,-158472886362.33212,2884547854518.245,191743437090.33557,5280207623792.577,2389293949766.141,2890913674026.436,7409.724372084278,6736.266856311323,6.011989672093442e+37,4.106644849929178e+37,1.0118634522022621e+38,-5.0104578560108695e+37,-3.779465395714286e+37,4.332936245232422e-06,5.2426134679884e-06,9.575549713220821e-06
15432.117406133651,29143.0723794471,-2382382856653.194,-163955734067.80075,2882551633188.1187,198377379894.18988,5277387655629.818,2388017914172.4927,2889369741457.3257,7417.777847511277,6743.588364760598,6.025065387355679e+37,4.1155765550167737e+37,1.0140641942372453e+38,-5.013135190434032e+37,-3.779465395714286e+37,4.337568084922157e-06,5.248217738110234e-06,9.585785823032392e-06
15461.28965075772,29143.0723794471,-2380677733047.2007,-169430638912.997,2880488527830.5903,205001712275.94662,5274473434402.308,2386699229067.0444,2887774205335.263,7426.100354261656,6751.154452724035,6.038592828636378e+37,4.1248168232304684e+37,1.0163409651866847e+38,-5.015905018582764e+37,-3.779465395714286e+37,4.342362544581657e-06,5.254018769410956e-06,9.596381313992613e-06
15490.461895381792,29143.0723794471,-2378917492079.35,-174897345938.72998,2878358733510.374,211616125749.0711,5271465258914.934,2385338029659.0073,2886127229255.9263,7434.69104132752,6758.964346540425,6.052572081359527e+37,4.1343657129213197e+37,1.0186937794280846e+38,-5.018767357948158e+37,-3.779465395714286e+37,4.347319919816951e-06,5.260016919557527e-06,9.607336839374479e-06
15519.634140005865,29143.0723794471,-2377102299884.807,-180355601580.66245,2876162451241.838,218220313514.72415,5268363437114.396,2383934455294.2646,2884428981820.132,7443.549034335872,6767.01725130709,6.067003233808594e+37,4.1442232843936436e+37,1.0211226518202238e+38,-5.021722226606808e+37,-3.779465395714286e+37,4.35244051617974e-06,5.266212558250624e-06,9.618653074430364e-06
15548.806384629936,29143.0723794471,-2375232327472.5654,-185805153709.54178,2873899887936.4185,224813970510.44003,5265168286011.342,2382488649420.1323,2882679636591.2095,7452.673435998147,6775.312351288517,6.081886377127751e+37,4.154389599905807e+37,1.0236275977033559e+38,-5.0247696432210505e+37,-3.779465395714286e+37,4.357724649176485e-06,5.272606067235636e-06,9.630330716412122e-06
15577.978629254007,29143.0723794471,-2373307750680.811,-191245751670.92465,2871571256348.605,231396793458.19058,5261880131600.404,2381000759549.183,2880879372051.221,7462.063326567786,6783.848810332385,6.097221605323015e+37,4.164864723671055e+37,1.026208632899407e+38,-5.027909627039207e+37,-3.779465395714286e+37,4.363172644277772e-06,5.279197840313989e-06,9.642370484591761e-06
15607.150873878076,29143.0723794471,-2371328750131.127,-196677146324.37833,2869176775020.535,237968480911.81686,5258499308778.185,2379470937222.1284,2879028371556.056,7471.717764305502,6792.625772292522,6.113009015263505e+37,4.175648721858339e+37,1.0288657737121845e+38,-5.031142197895835e+37,-3.779465395714286e+37,4.3687848369279916e-06,5.285988283354863e-06,9.654773120282853e-06
15636.323118502147,29143.0723794471,-2369295511181.5747,-202099090082.14783,2866716668225.2197,244528733303.81418,5255026161259.216,2377899337969.7954,2877126823289.4204,7481.6357859516065,6801.642361458316,6.129248706682673e+37,4.186741662593176e+37,1.031599036927585e+38,-5.034467376211981e+37,-3.779465395714286e+37,4.374561572555282e-06,5.29297781430722e-06,9.667539386862502e-06
